"row_id";"order_id";"order_date";"ship_date";"ship_mode";"customer_id";"product_id";"country";"city";"state";"postal_code";"region";"sales";"quantity";"discount";"profit"
1;"CA-2016-152156";"2016-11-08";"2016-11-11";"Second Class";"CG-12520";"FUR-BO-10001798";"United States";"Henderson";"Kentucky";42420;"South";261.96;2;0.0;41.9136
2;"CA-2016-152156";"2016-11-08";"2016-11-11";"Second Class";"CG-12520";"FUR-CH-10000454";"United States";"Henderson";"Kentucky";42420;"South";731.94;3;0.0;219.582
3;"CA-2016-138688";"2016-06-12";"2016-06-16";"Second Class";"DV-13045";"OFF-LA-10000240";"United States";"Los Angeles";"California";90036;"West";14.62;2;0.0;6.8714
4;"US-2015-108966";"2015-10-11";"2015-10-18";"Standard Class";"SO-20335";"FUR-TA-10000577";"United States";"Fort Lauderdale";"Florida";33311;"South";957.5775;5;0.45;-383.031
5;"US-2015-108966";"2015-10-11";"2015-10-18";"Standard Class";"SO-20335";"OFF-ST-10000760";"United States";"Fort Lauderdale";"Florida";33311;"South";22.368;2;0.2;2.5164
6;"CA-2014-115812";"2014-06-09";"2014-06-14";"Standard Class";"BH-11710";"FUR-FU-10001487";"United States";"Los Angeles";"California";90032;"West";48.86;7;0.0;14.1694
7;"CA-2014-115812";"2014-06-09";"2014-06-14";"Standard Class";"BH-11710";"OFF-AR-10002833";"United States";"Los Angeles";"California";90032;"West";7.28;4;0.0;1.9656
8;"CA-2014-115812";"2014-06-09";"2014-06-14";"Standard Class";"BH-11710";"TEC-PH-10002275";"United States";"Los Angeles";"California";90032;"West";907.152;6;0.2;90.7152
9;"CA-2014-115812";"2014-06-09";"2014-06-14";"Standard Class";"BH-11710";"OFF-BI-10003910";"United States";"Los Angeles";"California";90032;"West";18.504;3;0.2;5.7825
10;"CA-2014-115812";"2014-06-09";"2014-06-14";"Standard Class";"BH-11710";"OFF-AP-10002892";"United States";"Los Angeles";"California";90032;"West";114.9;5;0.0;34.47
11;"CA-2014-115812";"2014-06-09";"2014-06-14";"Standard Class";"BH-11710";"FUR-TA-10001539";"United States";"Los Angeles";"California";90032;"West";1706.184;9;0.2;85.3092
12;"CA-2014-115812";"2014-06-09";"2014-06-14";"Standard Class";"BH-11710";"TEC-PH-10002033";"United States";"Los Angeles";"California";90032;"West";911.424;4;0.2;68.3568
13;"CA-2017-114412";"2017-04-15";"2017-04-20";"Standard Class";"AA-10480";"OFF-PA-10002365";"United States";"Concord";"North Carolina";28027;"South";15.552;3;0.2;5.4432
14;"CA-2016-161389";"2016-12-05";"2016-12-10";"Standard Class";"IM-15070";"OFF-BI-10003656";"United States";"Seattle";"Washington";98103;"West";407.976;3;0.2;132.5922
15;"US-2015-118983";"2015-11-22";"2015-11-26";"Standard Class";"HP-14815";"OFF-AP-10002311";"United States";"Fort Worth";"Texas";76106;"Central";68.81;5;0.8;-123.858
16;"US-2015-118983";"2015-11-22";"2015-11-26";"Standard Class";"HP-14815";"OFF-BI-10000756";"United States";"Fort Worth";"Texas";76106;"Central";2.544;3;0.8;-3.816
17;"CA-2014-105893";"2014-11-11";"2014-11-18";"Standard Class";"PK-19075";"OFF-ST-10004186";"United States";"Madison";"Wisconsin";53711;"Central";665.88;6;0.0;13.3176
18;"CA-2014-167164";"2014-05-13";"2014-05-15";"Second Class";"AG-10270";"OFF-ST-10000107";"United States";"West Jordan";"Utah";84084;"West";55.5;2;0.0;9.99
19;"CA-2014-143336";"2014-08-27";"2014-09-01";"Second Class";"ZD-21925";"OFF-AR-10003056";"United States";"San Francisco";"California";94109;"West";8.56;2;0.0;2.4824
20;"CA-2014-143336";"2014-08-27";"2014-09-01";"Second Class";"ZD-21925";"TEC-PH-10001949";"United States";"San Francisco";"California";94109;"West";213.48;3;0.2;16.011
21;"CA-2014-143336";"2014-08-27";"2014-09-01";"Second Class";"ZD-21925";"OFF-BI-10002215";"United States";"San Francisco";"California";94109;"West";22.72;4;0.2;7.384
22;"CA-2016-137330";"2016-12-09";"2016-12-13";"Standard Class";"KB-16585";"OFF-AR-10000246";"United States";"Fremont";"Nebraska";68025;"Central";19.46;7;0.0;5.0596
23;"CA-2016-137330";"2016-12-09";"2016-12-13";"Standard Class";"KB-16585";"OFF-AP-10001492";"United States";"Fremont";"Nebraska";68025;"Central";60.34;7;0.0;15.6884
24;"US-2017-156909";"2017-07-16";"2017-07-18";"Second Class";"SF-20065";"FUR-CH-10002774";"United States";"Philadelphia";"Pennsylvania";19140;"East";71.372;2;0.3;-1.0196
25;"CA-2015-106320";"2015-09-25";"2015-09-30";"Standard Class";"EB-13870";"FUR-TA-10000577";"United States";"Orem";"Utah";84057;"West";1044.63;3;0.0;240.2649
26;"CA-2016-121755";"2016-01-16";"2016-01-20";"Second Class";"EH-13945";"OFF-BI-10001634";"United States";"Los Angeles";"California";90049;"West";11.648;2;0.2;4.2224
27;"CA-2016-121755";"2016-01-16";"2016-01-20";"Second Class";"EH-13945";"TEC-AC-10003027";"United States";"Los Angeles";"California";90049;"West";90.57;3;0.0;11.7741
28;"US-2015-150630";"2015-09-17";"2015-09-21";"Standard Class";"TB-21520";"FUR-BO-10004834";"United States";"Philadelphia";"Pennsylvania";19140;"East";3083.43;7;0.5;-1665.0522
29;"US-2015-150630";"2015-09-17";"2015-09-21";"Standard Class";"TB-21520";"OFF-BI-10000474";"United States";"Philadelphia";"Pennsylvania";19140;"East";9.618;2;0.7;-7.0532
30;"US-2015-150630";"2015-09-17";"2015-09-21";"Standard Class";"TB-21520";"FUR-FU-10004848";"United States";"Philadelphia";"Pennsylvania";19140;"East";124.2;3;0.2;15.525
31;"US-2015-150630";"2015-09-17";"2015-09-21";"Standard Class";"TB-21520";"OFF-EN-10001509";"United States";"Philadelphia";"Pennsylvania";19140;"East";3.264;2;0.2;1.1016
32;"US-2015-150630";"2015-09-17";"2015-09-21";"Standard Class";"TB-21520";"OFF-AR-10004042";"United States";"Philadelphia";"Pennsylvania";19140;"East";86.304;6;0.2;9.7092
33;"US-2015-150630";"2015-09-17";"2015-09-21";"Standard Class";"TB-21520";"OFF-BI-10001525";"United States";"Philadelphia";"Pennsylvania";19140;"East";6.858;6;0.7;-5.715
34;"US-2015-150630";"2015-09-17";"2015-09-21";"Standard Class";"TB-21520";"OFF-AR-10001683";"United States";"Philadelphia";"Pennsylvania";19140;"East";15.76;2;0.2;3.546
35;"CA-2017-107727";"2017-10-19";"2017-10-23";"Second Class";"MA-17560";"OFF-PA-10000249";"United States";"Houston";"Texas";77095;"Central";29.472;3;0.2;9.9468
36;"CA-2016-117590";"2016-12-08";"2016-12-10";"First Class";"GH-14485";"TEC-PH-10004977";"United States";"Richardson";"Texas";75080;"Central";1097.544;7;0.2;123.4737
37;"CA-2016-117590";"2016-12-08";"2016-12-10";"First Class";"GH-14485";"FUR-FU-10003664";"United States";"Richardson";"Texas";75080;"Central";190.92;5;0.6;-147.963
38;"CA-2015-117415";"2015-12-27";"2015-12-31";"Standard Class";"SN-20710";"OFF-EN-10002986";"United States";"Houston";"Texas";77041;"Central";113.328;9;0.2;35.415
39;"CA-2015-117415";"2015-12-27";"2015-12-31";"Standard Class";"SN-20710";"FUR-BO-10002545";"United States";"Houston";"Texas";77041;"Central";532.3992;3;0.32;-46.9764
40;"CA-2015-117415";"2015-12-27";"2015-12-31";"Standard Class";"SN-20710";"FUR-CH-10004218";"United States";"Houston";"Texas";77041;"Central";212.058;3;0.3;-15.147
41;"CA-2015-117415";"2015-12-27";"2015-12-31";"Standard Class";"SN-20710";"TEC-PH-10000486";"United States";"Houston";"Texas";77041;"Central";371.168;4;0.2;41.7564
42;"CA-2017-120999";"2017-09-10";"2017-09-15";"Standard Class";"LC-16930";"TEC-PH-10004093";"United States";"Naperville";"Illinois";60540;"Central";147.168;4;0.2;16.5564
43;"CA-2016-101343";"2016-07-17";"2016-07-22";"Standard Class";"RA-19885";"OFF-ST-10003479";"United States";"Los Angeles";"California";90049;"West";77.88;2;0.0;3.894
44;"CA-2017-139619";"2017-09-19";"2017-09-23";"Standard Class";"ES-14080";"OFF-ST-10003282";"United States";"Melbourne";"Florida";32935;"South";95.616;2;0.2;9.5616
45;"CA-2016-118255";"2016-03-11";"2016-03-13";"First Class";"ON-18715";"TEC-AC-10000171";"United States";"Eagan";"Minnesota";55122;"Central";45.98;2;0.0;19.7714
46;"CA-2016-118255";"2016-03-11";"2016-03-13";"First Class";"ON-18715";"OFF-BI-10003291";"United States";"Eagan";"Minnesota";55122;"Central";17.46;2;0.0;8.2062
47;"CA-2014-146703";"2014-10-20";"2014-10-25";"Second Class";"PO-18865";"OFF-ST-10001713";"United States";"Westland";"Michigan";48185;"Central";211.96;4;0.0;8.4784
48;"CA-2016-169194";"2016-06-20";"2016-06-25";"Standard Class";"LH-16900";"TEC-AC-10002167";"United States";"Dover";"Delaware";19901;"East";45.0;3;0.0;4.95
49;"CA-2016-169194";"2016-06-20";"2016-06-25";"Standard Class";"LH-16900";"TEC-PH-10003988";"United States";"Dover";"Delaware";19901;"East";21.8;2;0.0;6.104
50;"CA-2015-115742";"2015-04-18";"2015-04-22";"Standard Class";"DP-13000";"OFF-BI-10004410";"United States";"New Albany";"Indiana";47150;"Central";38.22;6;0.0;17.9634
51;"CA-2015-115742";"2015-04-18";"2015-04-22";"Standard Class";"DP-13000";"OFF-LA-10002762";"United States";"New Albany";"Indiana";47150;"Central";75.18;6;0.0;35.3346
52;"CA-2015-115742";"2015-04-18";"2015-04-22";"Standard Class";"DP-13000";"FUR-FU-10001706";"United States";"New Albany";"Indiana";47150;"Central";6.16;2;0.0;2.9568
53;"CA-2015-115742";"2015-04-18";"2015-04-22";"Standard Class";"DP-13000";"FUR-CH-10003061";"United States";"New Albany";"Indiana";47150;"Central";89.99;1;0.0;17.0981
54;"CA-2016-105816";"2016-12-11";"2016-12-17";"Standard Class";"JM-15265";"OFF-FA-10000304";"United States";"New York City";"New York";10024;"East";15.26;7;0.0;6.2566
55;"CA-2016-105816";"2016-12-11";"2016-12-17";"Standard Class";"JM-15265";"TEC-PH-10002447";"United States";"New York City";"New York";10024;"East";1029.95;5;0.0;298.6855
56;"CA-2016-111682";"2016-06-17";"2016-06-18";"First Class";"TB-21055";"OFF-ST-10000604";"United States";"Troy";"New York";12180;"East";208.56;6;0.0;52.14
57;"CA-2016-111682";"2016-06-17";"2016-06-18";"First Class";"TB-21055";"OFF-PA-10001569";"United States";"Troy";"New York";12180;"East";32.4;5;0.0;15.552
58;"CA-2016-111682";"2016-06-17";"2016-06-18";"First Class";"TB-21055";"FUR-CH-10003968";"United States";"Troy";"New York";12180;"East";319.41;5;0.1;7.098
59;"CA-2016-111682";"2016-06-17";"2016-06-18";"First Class";"TB-21055";"OFF-PA-10000587";"United States";"Troy";"New York";12180;"East";14.56;2;0.0;6.9888
60;"CA-2016-111682";"2016-06-17";"2016-06-18";"First Class";"TB-21055";"TEC-AC-10002167";"United States";"Troy";"New York";12180;"East";30.0;2;0.0;3.3
61;"CA-2016-111682";"2016-06-17";"2016-06-18";"First Class";"TB-21055";"OFF-BI-10001460";"United States";"Troy";"New York";12180;"East";48.48;4;0.2;16.362
62;"CA-2016-111682";"2016-06-17";"2016-06-18";"First Class";"TB-21055";"OFF-AR-10001868";"United States";"Troy";"New York";12180;"East";1.68;1;0.0;0.84
63;"CA-2015-135545";"2015-11-24";"2015-11-30";"Standard Class";"KM-16720";"TEC-AC-10004633";"United States";"Los Angeles";"California";90004;"West";13.98;2;0.0;6.1512
64;"CA-2015-135545";"2015-11-24";"2015-11-30";"Standard Class";"KM-16720";"OFF-BI-10001078";"United States";"Los Angeles";"California";90004;"West";25.824;6;0.2;9.3612
65;"CA-2015-135545";"2015-11-24";"2015-11-30";"Standard Class";"KM-16720";"OFF-PA-10003892";"United States";"Los Angeles";"California";90004;"West";146.73;3;0.0;68.9631
66;"CA-2015-135545";"2015-11-24";"2015-11-30";"Standard Class";"KM-16720";"FUR-FU-10000397";"United States";"Los Angeles";"California";90004;"West";79.76;4;0.0;22.3328
