order_id,customer_id,order_date,status
1,233.0,2026-05-23 11:55:54.146317,cancelled
2,242.0,2026-06-10 15:55:30.410479,pending
3,349.0,2025-07-02 10:01:53.193060,completed
4,361.0,2024-07-25 14:25:44.067648,pending
5,463.0,2025-05-29 08:30:21.091829,completed
6,267.0,2025-02-17 21:41:57.133893,completed
7,461.0,2025-01-03 19:52:40.264840,cancelled
8,234.0,2024-07-24 04:51:46.094558,completed
9,12.0,2025-04-17 20:51:56.339160,cancelled
10,24.0,2025-05-15 16:40:34.243701,completed
11,458.0,2025-09-01 09:41:25.818479,completed
12,394.0,2025-05-03 06:55:28.324050,refunded
13,192.0,2024-11-15 04:40:58.721982,refunded
14,193.0,2026-01-08 09:07:01.045654,completed
15,441.0,2025-04-29 14:45:42.679628,cancelled
16,373.0,2025-04-21 07:30:44.843138,refunded
17,238.0,2025-01-27 00:45:52.250929,pending
18,127.0,2025-05-23 08:49:07.460722,refunded
19,392.0,2025-01-09 22:12:11.899394,pending
20,453.0,2026-01-28 09:50:20.216132,cancelled
21,229.0,2026-05-14 15:12:15.762742,pending
22,206.0,2026-02-28 20:20:12.390578,pending
23,72.0,2025-12-01 01:06:19.796876,pending
24,164.0,2025-02-11 21:08:18.696481,completed
25,449.0,2026-01-12 14:57:29.604567,completed
26,32.0,2026-03-01 17:57:56.028270,completed
27,348.0,2025-05-16 13:09:11.249010,refunded
28,344.0,2026-04-03 09:09:27.785829,completed
29,154.0,2024-11-29 04:11:44.384582,refunded
30,154.0,2025-02-15 11:21:58.813152,completed
31,212.0,2025-10-27 04:01:04.191084,completed
32,105.0,2025-10-13 04:03:22.067913,completed
33,275.0,2025-02-02 17:14:43.822503,pending
34,505.0,2025-10-16 20:08:27.274315,pending
35,287.0,2024-12-03 02:33:17.723897,completed
36,513.0,2024-08-02 02:21:04.861077,refunded
37,246.0,2024-08-24 04:26:46.400554,completed
38,123.0,2025-08-13 17:10:15.644057,cancelled
39,184.0,2024-12-01 18:05:21.394053,completed
40,412.0,2024-10-01 15:19:48.962667,refunded
41,190.0,2025-01-31 13:43:13.482135,pending
42,9.0,2025-12-23 08:47:33.073265,completed
43,79.0,2026-01-01 01:36:45.731693,completed
