order_item_id,order_id,product_id,quantity,unit_price
1,1,140,1,97.64
3,2,134,3,104.37
4,3,43,4,46.28
5,3,90,3,486.73
6,3,35,5,164.74
7,3,117,6,365.59
8,3,47,1,90.25
9,4,56,6,95.52
10,4,47,5,455.09
11,4,44,6,165.5
12,4,78,5,448.66
13,5,148,5,279.3
14,5,126,4,441.61
15,6,64,5,433.12
16,6,128,6,446.96
17,6,150,2,221.75
18,7,120,4,109.48
19,7,36,5,260.92
20,7,26,3,395.92
21,7,45,1,278.44
22,7,120,5,220.87
23,8,132,2,198.99
24,8,11,3,120.43
25,8,147,5,231.73
26,9,147,1,77.16
27,9,90,1,240.55
28,10,15,2,289.54
29,10,128,1,27.06
30,11,41,6,480.18
31,11,36,5,337.7
32,12,34,1,361.67
33,13,113,2,374.15
34,13,50,3,9.66
35,13,78,1,393.15
36,13,6,6,263.83
37,13,148,2,145.5
38,14,50,3,176.94
39,14,1,2,285.73
40,14,150,1,116.75
41,14,49,3,271.2
42,14,34,1,40.25
43,15,124,4,308.28
44,15,72,5,223.23
45,16,6,2,142.86
46,16,88,2,343.17
47,16,74,1,309.22
48,16,128,6,213.32
49,17,114,3,214.31
50,17,123,2,127.8
51,17,143,1,258.55
58,21,110,4,341.32
59,21,52,2,459.97
60,21,112,4,42.23
62,22,85,1,398.17
63,22,120,3,375.26
64,22,142,6,350.87
65,23,1,6,35.69
66,23,129,5,415.58
67,23,102,5,320.52
68,23,113,4,279.6
69,23,98,2,145.47
70,24,64,2,220.14
71,24,132,5,285.53
72,24,4,3,217.1
74,26,15,6,16.63
75,26,25,5,400.2
76,26,147,5,390.68
78,27,131,1,464.25
79,27,36,1,440.45
80,27,60,4,188.78
81,28,7,1,162.14
82,29,49,1,203.41
83,29,41,4,296.44
84,30,144,2,376.82
85,30,123,1,295.65
86,30,23,4,215.29
87,30,64,3,404.81
88,31,91,4,429.92
89,31,47,1,463.33
90,31,97,2,467.97
91,31,131,1,79.02
92,32,92,2,205.1
93,32,129,2,201.86
94,33,112,3,78.22
100,35,127,1,216.17
101,35,75,5,423.03
102,35,17,2,298.49
104,37,114,5,54.98
108,39,13,5,300.76
109,39,123,2,192.6
111,40,102,3,488.0
112,40,149,3,320.44
113,40,147,2,485.72
114,40,97,6,393.4
116,41,109,4,171.94
117,41,79,2,254.69
118,41,63,3,204.0
119,42,108,3,200.06
120,42,59,1,338.61
121,43,39,4,441.03
122,43,103,3,196.9
123,44,24,5,127.85
129,47,99,5,278.39
130,47,95,5,66.57
131,47,60,3,376.95
132,47,110,6,327.15
133,47,51,1,472.4
134,48,74,5,366.29
135,48,22,4,123.72
136,48,43,1,416.8
138,49,100,1,358.23
139,49,59,5,74.98
140,49,59,1,460.65
141,49,27,6,221.95
142,49,18,3,141.59
143,50,67,1,107.5
145,50,83,5,269.71
149,52,23,5,481.86
150,53,53,6,226.42
151,53,27,1,330.79
153,54,55,1,61.14
154,55,5,5,218.68
155,56,143,6,46.11
156,56,76,4,146.52
157,56,142,3,321.65
158,56,13,3,376.28
159,56,50,4,295.58
161,58,98,1,451.76
162,58,100,1,452.78
163,58,23,6,496.58
164,59,139,4,461.43
166,59,76,4,285.03
167,59,118,5,218.42
168,60,31,6,244.19
169,60,95,4,228.41
171,60,92,6,280.86
172,60,78,5,381.24
174,61,117,1,71.57
175,62,25,6,142.32
176,63,112,2,471.68
177,63,116,6,456.97
178,64,34,5,148.94
179,64,82,5,422.93
180,64,94,1,11.98
181,65,57,3,475.47
182,65,35,4,253.04
184,65,68,2,496.86
186,66,16,5,3.51
187,66,28,6,95.41
188,66,93,4,286.05
190,67,130,3,165.63
192,68,34,3,383.7
193,69,132,4,157.49
195,69,57,1,150.49
196,69,93,5,412.46
197,69,108,4,489.57
198,70,50,2,498.24
199,70,129,3,161.01
200,70,77,2,167.43
201,70,71,4,311.08
202,71,41,2,7.84
203,71,84,4,123.14
204,71,27,1,498.4
206,72,14,2,14.83
208,72,35,3,450.35
209,72,3,4,350.72
210,73,55,2,175.47
211,73,67,5,220.72
212,73,26,6,67.18
213,74,94,2,415.13
214,74,74,5,154.12
215,74,149,3,469.03
216,75,73,5,307.88
217,75,87,5,480.04
218,75,63,6,75.81
219,75,16,4,290.07
220,75,110,5,274.73
223,77,1,4,424.49
224,78,42,1,108.62
225,78,101,1,129.62
226,79,39,2,428.44
227,79,9,6,212.61
229,79,23,4,70.63
230,79,86,4,438.6
231,80,116,5,46.6
232,80,109,4,476.77
233,80,46,6,186.91
234,80,119,1,65.66
235,80,89,2,276.71
236,81,26,5,87.95
237,81,32,4,344.14
240,83,133,1,387.24
241,83,56,4,79.82
242,84,131,3,329.71
243,84,123,1,109.23
244,85,35,2,47.07
245,85,55,6,374.64
246,86,148,2,337.54
247,86,33,2,140.67
248,86,34,4,425.69
249,87,96,1,380.37
250,87,13,4,342.04
251,88,60,4,179.86
252,88,138,1,326.93
254,88,136,1,421.55
255,88,18,4,285.04
256,89,108,5,204.71
257,90,101,1,351.11
258,90,132,3,153.69
259,90,66,1,217.45
260,90,49,5,7.24
261,91,49,2,218.62
262,91,38,4,460.06
263,91,143,3,53.4
264,91,11,4,298.28
265,92,105,2,454.0
266,92,147,3,281.17
267,92,73,2,334.36
268,92,63,2,20.26
269,92,94,5,16.91
270,93,100,5,251.19
271,93,69,6,102.09
272,93,145,3,465.8
273,93,17,3,91.01
275,95,37,3,200.35
277,95,69,1,145.1
278,95,140,2,81.23
279,96,80,1,208.09
280,96,27,6,17.9
281,96,127,3,73.62
282,97,115,5,80.74
283,97,72,2,453.2
284,97,128,4,482.54
285,97,7,4,438.03
286,97,114,2,201.95
287,98,1,1,26.18
288,98,40,5,464.0
289,98,12,2,342.16
290,98,48,6,99.85
291,99,147,1,111.16
292,99,23,2,101.63
293,100,40,4,361.26
294,100,125,3,188.64
295,100,55,2,321.05
296,101,49,5,3.71
297,101,57,2,213.34
298,101,9,1,276.96
299,101,100,1,404.04
300,101,10,4,200.02
301,102,57,5,317.16
302,102,127,6,354.6
303,102,104,3,133.54
305,102,75,2,495.22
306,103,46,3,190.38
307,103,87,6,196.64
308,104,63,6,30.54
310,104,32,3,444.57
311,104,45,1,145.55
312,105,94,3,396.0
314,105,69,5,337.6
318,106,23,1,287.07
319,106,104,5,204.77
321,107,48,6,383.03
322,108,136,4,211.92
323,108,54,6,458.17
324,108,24,4,96.62
325,108,149,2,74.93
326,108,91,3,190.93
327,109,73,6,72.72
328,109,79,6,249.72
329,109,116,1,103.05
330,109,9,3,205.13
331,110,51,6,138.38
332,110,119,1,284.02
334,110,90,5,208.52
335,111,81,5,281.12
336,112,90,4,126.26
337,112,75,3,393.43
338,112,32,5,377.23
339,112,67,4,288.74
340,113,135,6,88.15
341,114,108,6,467.78
342,114,137,5,467.08
343,114,3,5,33.42
344,114,12,3,260.73
345,114,106,4,68.56
346,115,11,5,154.28
347,116,58,1,369.44
348,116,30,4,198.56
350,116,21,5,37.19
351,116,49,3,112.98
352,117,95,2,94.23
353,117,35,2,230.39
355,117,102,5,19.24
356,117,81,2,142.45
357,118,23,4,145.17
358,118,10,3,116.51
361,120,35,5,110.12
362,120,57,4,36.66
363,121,117,1,215.15
364,121,89,3,374.95
365,121,54,2,368.15
366,121,125,1,359.22
367,122,139,1,400.38
368,122,5,6,84.21
369,123,15,6,416.17
370,123,27,4,346.42
371,123,28,5,93.89
372,124,59,4,339.79
373,124,17,3,401.92
374,124,99,5,129.6
375,124,64,6,287.98
376,124,26,1,62.26
377,125,89,5,459.35
379,126,39,5,309.77
380,126,82,1,88.81
381,127,66,5,84.28
382,127,37,2,162.29
383,127,98,2,184.71
390,129,5,4,44.61
391,129,95,2,145.06
392,130,56,5,379.45
393,130,112,6,79.62
394,130,76,2,190.36
396,131,11,5,425.94
397,131,22,2,414.93
398,131,76,1,270.55
399,131,138,4,7.19
400,131,84,5,156.72
401,132,11,2,252.73
402,133,123,3,388.64
403,133,73,4,388.21
404,133,34,6,306.43
405,133,38,2,154.9
406,133,65,1,244.34
407,134,24,5,413.22
408,135,72,5,82.96
410,135,1,3,374.75
412,135,136,5,467.85
413,136,44,5,34.04
414,136,111,4,466.98
415,136,143,2,252.3
416,136,53,4,374.25
417,137,104,4,218.72
418,137,1,2,254.4
419,137,40,5,366.35
420,137,119,6,265.59
421,137,6,4,50.2
422,138,149,6,270.5
423,138,69,1,235.14
424,138,118,6,485.06
425,139,139,3,91.56
426,139,39,4,476.81
429,141,114,2,305.09
430,142,106,3,220.62
432,143,147,3,256.0
433,143,78,4,419.93
434,143,53,5,268.01
435,143,150,3,7.91
436,143,132,1,87.94
437,144,103,4,201.91
438,144,5,2,417.28
442,147,12,6,340.38
443,147,92,1,475.31
444,148,145,4,333.49
445,148,115,5,457.25
446,148,136,4,402.41
447,149,110,6,117.77
448,149,65,5,198.52
453,151,128,4,146.42
454,151,58,3,424.51
457,152,121,6,485.05
458,153,138,6,175.21
459,153,142,2,154.72
460,153,81,1,165.86
462,155,115,3,383.05
463,155,37,5,427.03
464,155,119,5,403.47
465,156,53,2,268.55
466,156,56,1,122.1
467,156,47,1,254.5
468,157,18,2,71.98
469,157,112,6,93.23
470,157,84,2,365.28
471,157,132,5,56.37
472,157,75,4,368.4
473,158,102,1,114.57
474,158,148,4,216.72
475,159,148,1,58.75
476,159,123,1,119.27
477,159,42,1,206.57
478,159,44,4,469.13
479,159,118,4,455.69
480,160,85,5,261.39
481,160,14,1,293.15
483,160,21,3,265.97
484,161,26,2,380.99
485,161,134,2,320.18
486,161,112,1,290.33
487,162,21,3,388.76
488,162,147,2,224.31
489,162,38,4,293.84
490,162,23,6,253.78
491,162,119,1,335.46
492,163,32,2,42.67
493,164,147,3,433.47
494,164,110,1,166.06
501,167,26,2,340.38
502,168,62,2,428.06
503,168,97,3,149.61
504,168,66,6,41.04
505,168,119,3,104.75
506,168,77,3,188.53
508,169,131,3,339.19
509,169,149,3,463.5
510,169,12,4,378.82
511,169,1,2,382.48
512,170,70,3,354.34
513,170,138,4,247.01
514,170,6,4,480.05
515,170,99,3,383.54
516,171,129,1,105.16
517,171,92,2,109.58
519,173,132,4,95.59
520,173,68,1,36.71
521,174,22,6,226.75
522,174,72,1,248.89
523,175,145,3,391.05
524,176,124,3,318.24
526,177,148,2,41.83
527,177,37,1,445.37
528,177,108,5,28.65
529,177,111,4,239.02
530,178,15,2,18.8
531,178,101,4,37.83
532,179,150,3,303.64
533,179,63,5,15.92
534,179,23,1,88.32
535,179,98,6,442.65
536,179,48,3,461.26
538,181,66,4,489.25
540,181,47,5,43.89
541,181,5,3,224.7
546,183,44,5,496.7
547,184,106,5,439.77
548,184,33,4,454.2
549,184,117,5,220.85
550,184,145,1,311.0
551,184,77,4,363.87
552,185,101,6,417.3
553,185,72,5,226.18
554,186,58,5,139.34
555,187,44,2,364.25
556,188,92,1,7.06
562,190,87,1,433.7
563,190,67,1,460.92
564,190,132,2,62.01
565,190,115,1,45.33
566,190,95,3,380.34
568,192,8,4,304.78
569,192,70,4,358.91
571,192,130,2,258.13
572,193,39,4,266.85
573,194,84,4,456.63
574,194,80,2,39.27
575,194,25,5,277.18
576,195,18,6,71.98
577,195,102,1,302.0
579,195,45,2,495.13
581,197,84,6,377.7
582,197,79,2,211.22
583,197,99,1,46.79
584,197,53,3,77.0
585,198,22,4,84.1
586,198,33,6,198.94
587,198,108,4,466.15
588,198,34,1,311.84
589,199,114,3,148.85
590,199,41,6,10.48
591,199,131,5,152.76
592,199,70,3,363.85
593,199,141,1,170.13
594,200,92,3,88.52
595,200,71,6,383.91
597,200,110,2,294.62
598,200,129,6,259.86
599,201,104,1,51.87
600,202,42,3,329.29
601,203,64,1,28.33
603,204,15,1,103.22
604,205,13,3,9.56
605,205,30,6,52.15
606,205,143,6,316.28
607,205,91,5,495.34
608,205,149,6,263.37
609,206,20,4,170.84
610,207,43,6,223.49
611,207,120,1,235.57
